Programa,Ação,Subação, Orçado (2021), Empenhado (1º quad. 2021),Produto, Previsto, Executado,Justificativa,Comentários,Projeto estratégico
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,1 - Implantação e Manutenção dos Territórios Sustentáveis,"  99.000,00 ",  -   ,Território Implantado e Mantido,  8 ,  -   ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,4 - Implantação e Manutenção de Sistemas Agroecológicos em Unidades Produtivas Coletivas/Comunitárias ,"  992.559,00 ","  390.524,86 ",Sistema Agroecológico Atendido,  64 ,  26 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,6 - Formação e Qualificação em Agricultura Urbana e Agroecologia,"  400.084,00 ","  40.218,67 ",Pessoa capacitada,  2.000 ,  29 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,9 - Implantação e Manutenção do Centro de Agroecologia e Educação Ambiental para Resíduos Orgânicos,"  60.000,00 ",  -   ,Centro Implantado mantido,  1 ,  1 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,12 - Manutenção de Sistemas Agroecológicos em Unidades Produtivas Escolares e Institucionais Novas e Existentes,"  380.721,00 ","  182.673,54 ",Sistema Agroecológico Atendido,  160 ,  2 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,1 - Operacionalização do Programa de Aquisição de Alimentos da Agricultura Familiar - PAA,"  158.000,00 ",  -   ,Agricultor / a Familiar beneficiado / a,  125 ,  3 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,2 - Feiras Livres ,"  26.000,00 ",  -   ,Ponto de Comercialização Ativo,  400 ,  252 ,,- Havia perspectiva de chamamento público no 1º semestre de 2019 para ampliação de vagas.,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,3 - Realização de Feiras gastronômicas culturais - Feira Modelo,"  1.000,00 ",  -   ,Ponto de Comercialização Ativo,  27 ,  22 ,,"- Em 2018, eram 22 feirantes - 12 na Feira do Santo Agostinho e 10 na Savassi. Estava prevista uma requalificação em 2019.
- Feirantes são selecionados(as) por licitação (maior preço por metro quadrado).",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,4 - Comercialização direta de produtores da região metropolitana de BH - Direto da Roça,"  1.000,00 ",  -   ,Ponto de Comercialização Ativo,  50 ,  32 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,5 - Comercialização de Alimentos Orgânicos Direto do Produtor - Feira de Orgânicos,"  1.500,00 ",  -   ,Ponto de Comercialização Ativo,  25 ,  20 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,6 - Monitoramento às Feiras da Capital,"  92.577,00 ","  32.019,39 ",-, -, -,-,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,7 - Programa Abastecer - Alimentos a Baixo Custo,"  1.000,00 ",  -   ,Alimento comercializado (toneladas),  35 ,  7 ,,"- Sacolões ABasteCer são geridos por pessoas jurídicas permissionárias, selecionads por edital de licitação.",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,15 - Implantação e Manutenção da Feira de Agricultura Urbana e Pontos Regionais de Comercialização da Agricultura Urbana - ,"  34.000,00 ",  -   ,Ponto de Comercialização Ativo,  20 ,  -   ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,17 - Banco de Alimentos: doação de alimentos a instituições socioassistenciais ,"  1.793.951,00 ","  565.888,86 ",Alimento doado (toneladas),  250 ,  148 ,,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,18 - Mercados Municipais Revitalizados ,"  2.000,00 ",  -   ,Mercado Revitalizado,  4 ,  -   ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,19 - Implantação da Central de Abastecimento da Agricultura Familiar e Urbana,"  1.500,00 ",  -   ,Central implantada,  1 ,  1 ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,1 - Estratégias Educativas para Promoção do Consumo Alimentar Saudável e Sustentável com Ferramentas Lúdicas de Mobilização,"  48.170,00 ",  -   ,Pessoa Participante,  10.000 ,  651 ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,2 - Formação e Assessoria Tecnica para Multiplicadores em Educação Alimentar e Nutricional,"  11.980,00 ",  -   ,Pessoa capacitada,  200 ,  -   ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,3 - Circuitos de Segurança Alimentar e Nutricional Sustentável,"  4.000,00 ",  -   ,Evento realizado,  6 ,  -   ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,4 - Qualificação em Boas Práticas para Manipuladores de Alimentos,"  57.533,00 ","  22.588,39 ",Pessoa Participante,  400 ,  -   ,Despesas empenhadas referem-se à Mão de Obra da MGS. Meta física será informada posterioremente.,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2334 - Participação Popular,2 - Apoio aos Conselhos Municipais,"  31.788,00 ",  -   ,-, -, -,-,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"1 - Realização de Cursos de Qualificação nas Áreas de Gastronomia, Empreendedorismo Grastronômico e Agroecologia","  318.268,00 ","  54.360,16 ",Certificado emitido,  1.650 ,  -   ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,3 - Realização de Eventos Gastronômico-Culturais,"  37.500,00 ",  -   ,Evento realizado,  3 ,  -   ,,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"5 - Realização de Oficinas, Rodas de Negócios e Workshop","  20.000,00 ",  -   ,Pessoa Participante,  180 ,  -   ,,,N
307 - Sustentabilidade e Educação Ambiental,2912 - Preservação Ambiental e Desenvolvimento Sustentável,5 - Implantação de Agroflorestas Urbanas,"  50.000,00 ",  -   ,Agrofloresta implantada,  2 ,  -   ,,,
