uo,Nome,ua,Nome,programa,Nome,acao,Nome,subacao,Nome,unidade_medida,Produto,qtde_prevista,Executado,justificativa,descricao_restricao,eficacia
1014,FUNDO MUNICIPAL DE ALIMENTAÇÃO ESCOLAR,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,132,Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761,Gestão da Alimentação Escolar,8,Alimentação para  alunos das Unidades Conveniadas de Atendimento Educacional integrado,Unidade,Refeição Servida,1846800,1973740,"A demanda é espontânea e pode variar ao longo do ano, conforme cardápio e frequência.",,"106,874"
1014,FUNDO MUNICIPAL DE ALIMENTAÇÃO ESCOLAR,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,132,Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761,Gestão da Alimentação Escolar,9,Controle de Qualidade e Monitoramento dos Generos Alimentícios ,Unidade,Análise efetuada,300,307,Depende das demandas licitação e fornecimento de gêneros alimentícios ao longo do ano.,,"102,333"
1014,FUNDO MUNICIPAL DE ALIMENTAÇÃO ESCOLAR,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,132,Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761,Gestão da Alimentação Escolar,10,Aquisição de Produtos da Agricultura Familiar - PNAE,Quilo,Alimento Adquirido,500000,285448,Ausência de informações do Mapa de Produção da Agricultura Familiar; fragilidade da organização dos pequenos agricultores e pouca agilidade dos processo e fluxos de licitação.,Administrativas e/ou Gerenciais,"57,09"
1018,FUNDO MUNICIPAL DO IDOSO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,235,Programa de Atendimento ao Idoso,2334,Participação Popular,3,Realização de Conferências,Unidade,Evento realizado,1,1,,,100
1018,FUNDO MUNICIPAL DO IDOSO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,235,Programa de Atendimento ao Idoso,2697,Promoção e Garantia de Direitos da Pessoa Idosa,1,"Participação da Pessoa Idosa em Atividades em Prol do Envelhecimento Ativo, Digno e Saudável no CRPI",Pessoa,Pessoa Participante,712,0,"No projeto Voz e Violão, os instrumentos musicais estão na fase de entrega, falta a locação dos ônibus e  a cobertura da quadra está com a planilha orçamentária sendo revisada pela SMOBI, por isso não ocorreu execução da meta física.",Outras,0
1018,FUNDO MUNICIPAL DO IDOSO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,235,Programa de Atendimento ao Idoso,2697,Promoção e Garantia de Direitos da Pessoa Idosa,2,"Apoio a Projetos de Promoção, Proteção e Atenção à Pessoa Idosa",Unidade,Projeto apoiado,16,16,,,100
1018,FUNDO MUNICIPAL DO IDOSO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,235,Programa de Atendimento ao Idoso,2697,Promoção e Garantia de Direitos da Pessoa Idosa,3,Ações de Fortalecimento dos Grupos de Convivência e da Rede de Defesa de Direitos da Pessoa Idosa,Unidade,Grupo acompanhado,72,0,"O edital do Projeto Recicle ainda está em análise, por isso não houve execução da meta física. ",Administrativas e/ou Gerenciais,0
1018,FUNDO MUNICIPAL DO IDOSO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,235,Programa de Atendimento ao Idoso,2697,Promoção e Garantia de Direitos da Pessoa Idosa,4,Realização de Ações de Promoção e Garantia de Direitos da Pessoa Idosa,Unidade,Ação realizada,6,6,,,100
1022,FUNDO MUNICIPAL DO AUXÍLIO DE TRANSPORTE ESCOLAR,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2856,Execução do Programa Meio Passe Estudantil,1,Concessão do Benefício para Estudantes Municipais do Ensino Médio e EJA,Pessoa,Aluno beneficiado,10000,8168,"Nos meses de novembro e dezembro não ocorreram inclusões de novos beneficiários. A demanda pelo meio passe neste período, foi de estudantes que não obedeceram os prazos da renovação e de inscrição e portanto não constavam no sistema do Meio Passe.",Outras,"81,68"
2000,SECRETARIA MUNICIPAL DE GOVERNO,2700,SUBSECRETARIA DE PARTICIPAÇÃO POPULAR,227,Orçamento Participativo e Participação Popular,2334,Participação Popular,5,Capacitação de Conselheiros,Pessoa,Pessoa capacitada,300,0,"Por decisões administrativas essa meta vai ser objeto de estudo quanto a sua continuidade, devido às novas diretrizes após a extinção da secretaria a que estava vinculada (Secretaria de Governo).",Institucionais,0
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,1334,Videomonitoramento,1,Instalação de Circuito Interno de Televisão - CFTV em Equipamentos Municipais,Unidade,Equipamento público atendido,120,0,Não houve recurso disponível,Orçamentárias e/ou financeiras,0
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,1334,Videomonitoramento,2,Implantação de Videomonitoramento na Cidade,Unidade,Ponto com videomonitoramento,185,0,"levantamento inicial de localização e estudo básico foi realizado, sendo também aberto um chamado na prodabel para confecção do termo de referencia e posterior licitação. Entretando os recursos finan. não foram disponibilizados. Aquis. 45 cameras",Orçamentárias e/ou financeiras,0
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,1334,Videomonitoramento,3,Manutenção de Pontos de Videomonitoramento,Unidade,Equipamento mantido,336,268,Temos 183 cameras sob nossa gestão direta e 153 do convênio com a PM.  Alguns problemas com convênio e fatores externos iimpossibilitaram a manutenção total dos equipamentos,Administrativas e/ou Gerenciais,"79,762"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,2897,Gestão Integrada do COP-BH,2,Implantação de Soluções Tecnológicas,Unidade,Solução implantada,4,0,Ainda estão sendo realizados estudos acerca da solução a ser implantada,Administrativas e/ou Gerenciais,0
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,2897,Gestão Integrada do COP-BH,3,Desenvolvimento e Implementação de Protocolos de Atuação Integrada (META NÃO CUMULATIVA),Unidade,Simulado realizado,4,4,,,100
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,302,Belo Horizonte Cidade Inteligente,2897,Gestão Integrada do COP-BH,4,Implementação da Metodologia de Gestão Integrada Baseada em Metodologia de Solução de Problemas (META NÃO CUMULATIVA),Unidade,Território monitorado,18,6,"Implantada na UPA/NO Hospital Odilon Behrens, Parque Lagoa do Nado, Hipercentro, Praça Febem, complexo da lagoinha. Metodologia envolve processo complexo para a sua implantação. ",Administrativas e/ou Gerenciais,"33,333"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2791,Capacitação em Estágio de Qualificação Profissional na GMBH,1,Realização do Estágio de Qualificação Profissional na GMBH,Pessoa,Servidor capacitado,2072,1677,"Nem todo o efetivo da Guarda foi  capacitado tendo em vista que houve ao longo do ano servidores em licença, férias prêmio e outros",Alterações de demanda em relação aos produtos ou serviços ofertados à população,"80,936"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,1,Operacionalização da Guarda Municipal de Belo Horizonte,Unidade,Equipamento público atendido,120000,148881,Ocorreu patrulhamento acima do previsto devido a necessidades operacionais.,,"124,068"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,2,"Controle, Fiscalização e Orientação no Trânsito (META NÃO CUMULATIVA)",Unidade,Via atendida,130,99,A demanda foi menor que a prevista.,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"76,154"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,5,Operações Especiais da Guarda Municipal de Belo Horizonte - GMBH,Unidade,Ordem de serviço executada,700,1345,"A meta teve um aumento devido a imprevisibilidade natural que a segurança pública está submetida, em especial quanto ao aumento das demandas durante o carnaval, devido à proporção que este evento tomou nos últimos anos na capital.",,"192,143"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,6,Equipamentos de Proteção Individual,Pessoa,Guarda equipado,2072,2212,Foram adquiridos mais equipamentos que o previsto.,,"106,757"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,7,Escotismo na Guarda Municipal de Belo Horizonte - GMBH (META NÃO CUMULATIVA),Pessoa,Criança / adolescente atendido,460,456,Não houve a demanda suficiente para atingirmos a meta,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"99,13"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,8,Prevenção a Violência nas Escolas Municipais de Belo Horizonte,Unidade,Atividade realizada,100,120,"São utilizadas rodas de conversas, palestras, oficinas, etc. para prevenção da violência. Neste ano houve demanda maior com campanha sobre Cerol e linha chilena, resultando na ampliação das ações.",,120
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,109,Operacionalização dos serviços de segurança,2803,Operacionalização da Guarda Municipal de Belo Horizonte,9,Promoção de Eventos Culturais de Interação com os Cidadãos (META NÃO CUMULATIVA),Unidade,Evento realizado,130,24,Não foi possível realizar a quantidade de eventos estimada inicialmente.,Administrativas e/ou Gerenciais,"18,462"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,242,Prevenção Social à Criminalidade,2881,Ações de Prevenção Social à Criminalidade,1,Prevenção à Violência nas Escolas (META NÃO CUMULATIVA),Unidade,Território atendido,9,1,O Edital de chamamento realizado para contratar entidade que atue no território não foi finalizado em 2018,Licitações,"11,111"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,242,Prevenção Social à Criminalidade,2881,Ações de Prevenção Social à Criminalidade,2,Prevenção à Criminalidade Juvenil (META NÃO CUMULATIVA),Unidade,Programa implantado,9,1,O motivo da não implantação em mais de um território: ausência de recursos,Orçamentárias e/ou financeiras,"11,111"
2100,SECRETARIA MUNICIPAL DE SEGURANÇA E PREVENÇÃO,2900,GUARDA MUNICIPAL DE BELO HORIZONTE,242,Prevenção Social à Criminalidade,2881,Ações de Prevenção Social à Criminalidade,3,Mediação de Conflitos e Práticas Restaurativas (META NÃO CUMULATIVA),Unidade,Núcleo implantado,9,1,"Foi realizado um edital  para o território e iniciou ações no Leste 4. Foi implantado o núcleo  através da   Portaria SMSP 6-18, ação realizada nível central.Não houve orçamento para implantação de núcleo regionalizadas.",Orçamentárias e/ou financeiras,"11,111"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,1,Subvenção Regular (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,2,PAP - Projeto de Ação Pedagógica (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,3,Adequação dos Espaços Escolares (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,5,"Em observancia aos limites de recursos orçamentários e financeiros do municipio acrescida pelo atrado no repasse de recursos vinculados, foram revistas e reprogramadas estas ações, a partir de avaliação especifica realizada pela equipe técnica",Orçamentárias e/ou financeiras,"17,241"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,4,Contratação de Apoio Administrativo (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,5,Subvenção Regular para Complementação da Merenda (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2701,Apoio a inclusão de alunos com deficiência no cotidiano escolar,1,Promoção da Escolarização com Práticas Pedagógicas Inclusivas e Acessibilidade (META NÃO CUMULATIVA),Pessoa,Aluno atendido,760,702,A meta não foi atingida porque o quantitativo de estudantes matriculados com perfil de necessidade do profissional de apoio à inclusão nesta regional foi abaixo do previsto. ,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"92,368"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2701,Apoio a inclusão de alunos com deficiência no cotidiano escolar,2,Transporte Escolar Acessível (META NÃO CUMULATIVA),Pessoa,Aluno atendido,48,84,O Transporte Escolar Acessível atende por demanda das famílias. A demanda real de 2018 foi superior à meta projetada e foi atendida em 100%. O atendimento à demanda superior à meta não acarretou aumento dos custos.,,175
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2701,Apoio a inclusão de alunos com deficiência no cotidiano escolar,4,Fornecimento de Kits Escolares (META NÃO CUMULATIVA),Unidade,Material distribuído,760,0,A distribuição dos kits escolares foi efetivada dentro do quantitativo da Educação Infantil e Ensino Fundamental. Não ha distinção do kit para os estudantes com deficiência. Eles foram contemplados no Ensino Fundamental e Educação Infantil.,Administrativas e/ou Gerenciais,0
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2701,Apoio a inclusão de alunos com deficiência no cotidiano escolar,5,Parcerias com Instituições da Sociedade Civil (META NÃO CUMULATIVA),Pessoa,Aluno atendido,760,0,As parcerias não se efetivaram. porque houve uma outra opção gerencial para execução desta ação,Administrativas e/ou Gerenciais,0
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,1,Subvenção Regular (META NÃO CUMULATIVA),Unidade,Escola contemplada,30,30,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,1,Subvenção Regular (META NÃO CUMULATIVA),Unidade,Escola contemplada,17,17,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,2,PAP - Projeto de Ação Pedagógica (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,2,PAP - Projeto de Ação Pedagógica (META NÃO CUMULATIVA),Unidade,Escola contemplada,17,17,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,3,Adequação dos Espaços Escolares (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,27,"Em observancia aos limites de recursos orçamentários e financeiros do municipio acrescida pelo atrado no repasse de recursos vinculados, foram revistas e reprogramadas estas ações, a partir de avaliação especifica realizada pela equipe técnica.",Orçamentárias e/ou financeiras,"93,103"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,4,Contratação de Apoio Administrativo (META NÃO CUMULATIVA),Unidade,Escola contemplada,30,30,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,5,Subvenção Regular para Complementação da Merenda (META NÃO CUMULATIVA),Unidade,Escola contemplada,29,29,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2046,Gestão Descentralizada da Educação,6,Orçamento Participativo da Criança e Adolescente - OPCA (META NÃO CUMULATIVA),Unidade,Escola contemplada,3,0,"Em observancia aos limites de recursos orçamentários e financeiros do municipio acrescida pelo atrado no repasse de recursos vinculados, foram revistas e reprogramadas estas ações, a partir de avaliação especifica realizada pela equipe técnica",Orçamentárias e/ou financeiras,0
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,1,Administração do Ensino Fundamental (META NÃO CUMULATIVA),Pessoa,Aluno matriculado,21596,21439,As alterações nos quantitativos são decorrentes dos acertos na movimentação escolar relativas a alunos que foram afastados por abandono ou solicitação de transferência,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"99,273"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,2,Administração da Educação de Jovens e Adultos (META NÃO CUMULATIVA),Pessoa,Aluno matriculado,2629,2416,As alterações nos quantitativos são decorrentes dos acertos na movimentação escolar relativas a alunos que foram afastados por abandono ou solicitação de transferência,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"91,898"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,3,Fornecimento de Kits Escolares  (META NÃO CUMULATIVA),Pessoa,Aluno matriculado,21596,23570,O número de matriculados na rede foi superior à meta estimada.,,"109,141"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,3,Fornecimento de Kits Escolares  (META NÃO CUMULATIVA),Pessoa,Aluno matriculado,2629,2025,O número de matriculados na rede foi inferior à meta estimada.,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"77,025"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,5,Transporte Escolar (META NÃO CUMULATIVA),Pessoa,Aluno beneficiado,675,276,"A redução do atendimento em relação à meta deve-se ao fato das regionais matricularem, em maior número, os alunos em escolas mais próximas de suas residencias. Devem ser consideradas também possíveis transferências e/ou infrequência.",Alterações de demanda em relação aos produtos ou serviços ofertados à população,"40,889"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2080,Administração do Ensino Fundamental,6,Parcerias com Instituições da Sociedade Civil (META NÃO CUMULATIVA),Pessoa,Aluno beneficiado,21596,0,"Em observancia aos limites de recursos orçamentários e financeiros do municipio acrescida pelo atrado no repasse de recursos vinculados, foram revistas e reprogramadas estas ações, a partir de avaliação especifica realizada pela equipe técnica",Orçamentárias e/ou financeiras,0
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2702,Gestão do Programa Escola Integrada,1,Atendimento do Projeto Escola Integrada (META NÃO CUMULATIVA),Unidade,vaga ofertada,9822,9540,O atendimento abaixo do previsto ocorreu devido à necessidade de adequações no espaço escolar para ampliação do atendimento e de readequação financeira.,Administrativas e/ou Gerenciais,"97,129"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2702,Gestão do Programa Escola Integrada,3,Parcerias com Organizações da Sociedade Civil (META NÃO CUMULATIVA),Pessoa,Aluno beneficiado,109,84,"Encerramento do convênio com a SEE-MG/Secretaria do Estado de Educação de Minas Gerais.
",Financiamento Externo,"77,064"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2702,Gestão do Programa Escola Integrada,4,Projeto Escola Aberta,Pessoa,Participações,180653,371606,"O atendimento pelo Programa Escola Aberta pauta-se pela livre adesão e participação da comunidade,não havendo exigência de frequência nas atividades ofertadas,o que justifica a oscilação que pode ser observada em relação ao número de participações.",,"205,702"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2702,Gestão do Programa Escola Integrada,6,Projeto Escola nas Férias (META NÃO CUMULATIVA),Pessoa,Participações,14400,8806,"O projeto é desenvolvido a partir da adesão pelas escolas.Algumas não se interessaram.Outras,no período de janeiro e julho,passaram por readequações na rede física.Tais fatos alteraram o quantitativo de participações em relação a meta inicial.",Administrativas e/ou Gerenciais,"61,153"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,168,Gestão da Politica do Ensino Fundamental,2702,Gestão do Programa Escola Integrada,7,Projeto BH para Crianças,Pessoa,Participações,69600,103423,O planejamento de atividades pedagógicas fora do ambiente escolar é realizado considerando os projetos educativos da Secretaria e da Política de Educação Integral.A diversidade de possibilidades motiva as escolas na adesão gerando superação da meta.,,"148,596"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2046,Gestão Descentralizada da Educação,1,Subvenção Regular (META NÃO CUMULATIVA),Unidade,Escola contemplada,19,19,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2046,Gestão Descentralizada da Educação,2,PAP - Projeto de Ação Pedagógica (META NÃO CUMULATIVA),Unidade,Escola contemplada,19,19,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2046,Gestão Descentralizada da Educação,3,Adequação dos Espaços Escolares (META NÃO CUMULATIVA),Unidade,Escola contemplada,19,9,"Em observancia aos limites de recursos orçamentários e financeiros do municipio acrescida pelo atrado no repasse de recursos vinculados, foram revistas e reprogramadas estas ações, a partir de avaliação especifica realizada pela equipe técnica",Orçamentárias e/ou financeiras,"47,368"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2046,Gestão Descentralizada da Educação,4,Contratação de Apoio Administrativo (META NÃO CUMULATIVA),Unidade,Escola contemplada,19,19,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2046,Gestão Descentralizada da Educação,5,Subvenção Regular para Complementação da Merenda (META NÃO CUMULATIVA),Unidade,Escola contemplada,19,19,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2542,Administração da Educação Infantil,1,Administração da Educação Infantil (META NÃO CUMULATIVA),Pessoa,Aluno atendido,7115,7262,A flutuação de demanda por vagas gerou alteração no quantitativo de crianças atendidas em relação à meta estabelecida.,,"102,066"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2542,Administração da Educação Infantil,3,Parcerias com Instituições de Educação Infantil (META NÃO CUMULATIVA),Pessoa,Aluno atendido,3972,3551,A flutuação de demanda por vagas gerou alteração no quantitativo de crianças atendidas em relação à meta estabelecida.,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"89,401"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,100,COORDENADORIA DE ATENDIMENTO REGIONAL BARREIRO,169,Gestão da Política de Educação Infantil,2542,Administração da Educação Infantil,4,Fornecimento de Kits Escolares,Pessoa,Aluno matriculado,11087,11345,A superação da meta foi em decorrência da expansão do atendimento na Educação Infantil.,,"102,327"
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,200,COORDENADORIA DE ATENDIMENTO REGIONAL CENTRO-SUL,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,1,Subvenção Regular (META NÃO CUMULATIVA),Unidade,Escola contemplada,15,15,,,100
2200,SECRETARIA MUNICIPAL DE EDUCAÇÃO,200,COORDENADORIA DE ATENDIMENTO REGIONAL CENTRO-SUL,167,Gestão da política de educação inclusiva e diversidade étnico-racial,2046,Gestão Descentralizada da Educação,2,PAP - Projeto de Ação Pedagógica (META NÃO CUMULATIVA),Unidade,Escola contemplada,15,15,,,100
