"";"ID2021";"valor_orcado2020";"valor_empenhado2020";"descricao_medida2020";"descricao_produto2020";"qtde_prevista2020";"qtde_executada_ate_periodo2020";"justificativa2020";"valor_orcado2019";"valor_empenhado2019";"descricao_medida2019";"descricao_produto2019";"qtde_prevista2019";"qtde_executada_ate_periodo2019";"justificativa2019";"valor_orcado2018";"valor_empenhado2018";"unidade_medida2018";"Produto2018";"qtde_prevista2018";"Executado2018";"justificativa2018";"programa";"acao";"subacao";"Programa.x";"Acao";"Subacao";"Produto2021";"UnidadeMedida2021";"orcado2021";"executado2021";"Justificativa2021";"Programa.y";"Projativ";"Subitem_projativ";"orcado_2021";"Empenhado_2021"
"11";13223076;0;0;"-";"-";"-";"-";"-";4e+05;0;"Unidade";"Próprio construído, ampliado, reformado ou mantido";"1";"0";"ADEQUAÇÃO/REPROGRAMAÇÃO DO PLANO DE OBRAS.";0;0;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão dos Restaurantes e Refeitórios Populares";"Construção de Refeitório Popular";132;2307;6;"Próprio construído, ampliado, reformado ou mantido";"Unidade";1;0;"Reprogramação das prioridades de execução pelos gestores.";132;2307;6;350000;0
"12";13223077;0;253251,54;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão dos Restaurantes e Refeitórios Populares";"Ações de Enfrentamento ao Covid-19";NA;NA;NA;NA;NA;NA;NA;NA;132;2307;7;500;0
"13";13227611;20584800;3905019,08;"Unidade";"Refeição Servida";"19593400";"2077899";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";8643678;16531775,86;"Unidade";"Refeição Servida";"20820200";"17037232";"Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.";8713868;9557480,62;"Unidade";"Refeição Servida";"20820200";"16205384";"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para as Unidades de Ensino Fundamental";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";13227612;9240400;1453282,14;"Unidade";"Refeição Servida";"23210600";"3343662";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";8293608;9272922,99;"Unidade";"Refeição Servida";"21712200";"24459304";"Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende  da adesão destes beneficiários.";8759860;8309278,41;"Unidade";"Refeição Servida";"21712200";"22519828";"Houve aumento da demanda em razão da ampliação do número de vagas nas Umeis ao longo do ano.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para Unidades Municipais de Educação Infantil - UMEIS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";13227613;99820;15625,38;"Unidade";"Refeição Servida";"14009400";"2059710";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";11563016;4901950,03;"Unidade";"Refeição Servida";"20996400";"16555701";"Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.";11596697;11006338,74;"Unidade";"Refeição Servida";"20996400";"18455787";"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para as Unidades do Programa Escola Integrada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";13227614;980000;24535,86;"Unidade";"Refeição Servida";"2692000";"256740";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";1224040;1101134,79;"Unidade";"Refeição Servida";"2791800";"2124724";"Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.";1025384;1074040,31;"Unidade";"Refeição Servida";"2791800";"2753971";"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para as Unidades de Educação de Jovens e Adultos - EJA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";13227615;0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";1000;0;"Percentual";"Demanda atendida";"100";"100";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Atendimento das Demandas de Dietas Especiais";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";13227616;12001800;1406281,86;"Unidade";"Refeição Servida";"23686200";"3049716";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";10349284;10578267,74;"Unidade";"Refeição Servida";"20614000";"22730847";"Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende  da adesão destes beneficiários.";10168925;8916194,4;"Unidade";"Refeição Servida";"20614000";"20657858";"A demanda depende da frequência, além de ter havido redimensionado do número de vagas nas creches.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para as Unidades de Creches Parceiras";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";13227617;324621;288707,68;"-";"-";"-";"-";"-";167360;218193,58;"-";"-";"-";"-";"-";3387281;3411672,32;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Gestão e Monitoramento da Alimentação Escolar";NA;NA;NA;NA;NA;NA;NA;NA;132;2761;7;636233;210014,51
"20";13227618;1200000;148620,42;"Unidade";"Refeição Servida";"1803800";"264281";"Não executada a quantidade orçada devido a suspensão das aulas como ação de contenção da Pandemia (Covid-19)";1060000;978337,63;"Unidade";"Refeição Servida";"1876662";"1857199";"Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende  da adesão destes beneficiários.";1e+06;1003316,57;"Unidade";"Refeição Servida";"1846800";"1973740";"A demanda é espontânea e pode variar ao longo do ano, conforme cardápio e frequência.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Alimentação para as Unidades Parceiras de Atendimento Educacional Integrado";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";13227619;0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";1000;0;"Unidade";"Análise efetuada";"300";"307";"Depende das demandas licitação e fornecimento de gêneros alimentícios ao longo do ano.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Alimentação Escolar";"Controle de Qualidade e Monitoramento dos Generos Alimentícios";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";30729125;100500;0;"Unidade";"Agrofloresta implantada";"2";"2";"-";55000;0;"Unidade";"Agrofloresta implantada";"2";"6";"O projeto recebeu uma grande aderência do governo no ano de 2019, o que significou maior aporte de recursos financeiros e humanos, razão pela qual o valor final do produto superou a meta estabelecida.";0;0;"-";"-";"-";"-";"-";"Sustentabilidade e Educação Ambiental";"Preservação Ambiental e Desenvolvimento Sustentável";"Implantação de Agroflorestas Urbanas";307;2912;5;"Agrofloresta implantada";"Unidade";2;0;"A SUSAN abre um edital de chamamento público para recebimento das propostas e, neste ano, por atrasos gerados por restrições acarretadas pela pandemia e demais questões burocráticas, o edital somente foi publicado no final de 2021.";307;2912;5;50000;0
"23";30821211;267500;0;"Unidade";"Território Implantado e Mantido";"4";"0";"Atend. afetado por restrições impostas pela pandemia e tb por precariedade de acesso ao local e de água.
Feito plantio de mudas p/ compens. ambiental (parc.SMMA), assessoria tec. na UP do Vitória e para participação no edital Feira de AU";8500;30;"Unidade";"Banco implantado";"1";"0";"A execução financeira registrada refere-se a pagamento de multa de INSS. A meta não foi executada devido ao estágio de implementação do Programa, que focou no ano de 2019 na implantação de unidades produtivas.";16625;0;"Unidade";"Mudas produzidas";"12000";"0";"Produto definido foi inadequado para a subação. Foi realizada a revisão para o PPAG 2019 e o Produto será UNIDADE IMPLANTADA.";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Produção da Agricultura Urbana Agroecológica";"Implantação e Manutenção dos Territórios Sustentáveis";308;2121;1;"Território Implantado e Mantido";"Unidade";8;0;"Em 2021 foi lançado um edital para contratação de uma OSC que conduzirá este processo em 2022 com a realização de ações de apoio e fomento à promoção da agricultura urbana agroecológic";308;2121;1;99000;0
"24";30821212;0;0;"-";"-";"-";"-";"-";80000;0;"Unidade";"Pomar implantado";"5";"4";"A execução contou com insumos adquiridos anteriormente. A superação da meta deveu-se a ampliação na demanda.";12500;0;"Unidade";"Pomar implantado";"1";"0";"Houve dificuldades na execução dos processos licitatórios, pois o pregão para aquisição das frutíferas fracassou.";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Implantação de Territórios Sustentáveis";"Implantação Pomar Comunitário Agroecológico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";30821213;0;0;"-";"-";"-";"-";"-";1e+05;10285;"Unidade";"Quintal beneficiado";"200";"319";"Ampliação da meta devido à ampla demanda e parceria com EMATER";54000;0;"Unidade";"Família beneficiada";"5";"152";"Meta foi subestimada. Foi realizada revisão para PPAG 2019";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Implantação de Territórios Sustentáveis";"Atendimento Quintal Produtivo Agroecológico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";30821214;712890;574171,86;"Unidade";"Sistema Agroecológico Atendido";"48";"40";"Para a implantação de sistemas são necessárias atividades presenciais, que foram bastante afetadas pelas restrições impostas pela pandemia


";517500;910152,07;"Unidade";"Sistema Agroecológico implantado";"69";"41";"A meta estava super dimensionada. O número foi corrigido na revisão do PPAG 2020.";1456000;771394,31;"Unidade";"Horta ativa";"73";"28";"Números iniciais agregavam HORTAS COMUNITARIAS E INSTITUCIONAIS. Houve a adequação separando-os em duas subações. Porém não se retirou os valores correspondentes e o total de ambos permaneceu na subação Hortas Comunitárias.";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Produção da Agricultura Urbana Agroecológica";"Implantação e Manutenção de Sistemas Agroecológicos em Unidades Produtivas Coletivas/Comunitárias";308;2121;4;"Sistema Agroecológico Atendido";"Unidade";64;66;"Em abril de 2021 foi feito ajuste no plano de metas para adequar à realidade do dimensionamento da equipe técnica e logística, colocando a meta de implantação de 5 novas unidades produtivas/ano.";308;2121;4;992559;932915,99
"27";30821215;0;0;"-";"-";"-";"-";"-";1000;0;"Unidade";"Viveiro implantado";"1";"1";"Valor executado com insumos comprados anteriormente";16125;0;"Unidade";"Mudas produzidas";"12000";"248000";"Produto não relacionado à subação, mas como não havia uma meta específica para lançá-lo, o registro foi feito aqui. Meta ultrapassada em função do aumento na produção total de mudas no ano. Foi realizada revisão para 2019 e o produto será PERCENTUAL";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Implantação de Territórios Sustentáveis";"Implantação Viveiro de Mudas Agroecológico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";30821216;446070;137892,6;"Pessoa";"Pessoa capacitada";"2000";"112";"As ações de formação são presenciais e foram inviabilizadas pelas restrições impostas pela pandemia, especialmente as ações em parceria com o Programa EcoEscola que foram canceladas


";500;0;"Pessoa";"Pessoa capacitada";"2000";"2850";"As oficinas são realizadas apenas com o uso de recursos humanos. Ampliação da meta devido à ampla demanda.";52000;0;"Unidade";"Pessoa capacitada";"500";"1664";"A meta foi ultrapassada porque foi subdimensionada na elaboração inicial do PPAG. Foi realizada revisão para PPAG 2019";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Produção da Agricultura Urbana Agroecológica";"Formação e Qualificação em Agricultura Urbana e Agroecologia";308;2121;6;"Pessoa capacitada";"Pessoa";2000;255;"A pandemia trouxe impactos em relação às atividades com potencial aglomerador, e a quantidade de pessoas nas ações foi reduzida. Foi realizado chamamento para contratação de OSC, que irá ministrar as formações no período de 2022 e 2023.";308;2121;6;400084;154411,75
"29";30821217;0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";92500;10200;"Percentual de execução";"Grupo implantado";"69";"69";"-";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Implantação de Territórios Sustentáveis";"Implantação de grupos de Produção e Comercialização";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";30821218;0;0;"-";"-";"-";"-";"-";1500;0;"Percentual";"Empreendimento implantado";"15";"0";"Meta não realizada devido ao estágio de execução do Programa";355500;0;"Percentual de execução";"Grupo implantado";"15";"0";"Houve alteração da meta para 2018. A ação não se iniciou, devido a revisão na metodologia do Programa e aprofundamento de estudos.";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Implantação de Territórios Sustentáveis";"Agroindústria de Pequeno Porte";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";30821219;332000;59950;"Unidade";"Centro Implantado mantido";"1";"1";"-";28650;0;"Percentual de execução";"Núcleo implantado";"50";"50";"-";54000;0;"Percentual de execução";"Núcleo implantado";"15";"15";"-";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Produção da Agricultura Urbana Agroecológica";"Implantação e Manutenção do Centro de Agroecologia e Educação Ambiental para Resíduos Orgânicos";308;2121;9;"Centro Implantado mantido";"Unidade";1;1;NA;308;2121;9;60000;0
"32";30823051;1000;0;"Pessoa";"Produtor beneficiado";"50";"43";"Meta não executada plenamente devido a prazos e proced. adm. Qdo o Chamamento Público foi publicado, não era mais possível o fornecimento de todos os gêneros (período de safra) e alguns agricultores optaram por entregar para outros municípios.";121100;49615,76;"Pessoa";"Produtor beneficiado";"70";"43";"A diminuição da meta deve-se à diminuição do valor disponibilizado para o PAA pelo Governo Federal, em relação ao valor esperado, além de atraso na execução do chamamento público vigente, que terminará em março de 2020.";968000;928250,44;"Pessoa";"Produtor beneficiado";"70";"46";"Meta estipulada com base no recurso a ser disponibilizado pelo governo federal. Em 2018 foi considerado valor remanescente do liberado em 2017 e havia expectativa de recebimento de novos recursos que so ocorreu em dezembro, inviabilizando plena exec.";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Operacionalização do Programa de Aquisição de Alimentos da Agricultura Familiar - PAA";308;2305;1;"Agricultor / a Familiar beneficiado / a";"Pessoa";125;8;"A realização de chamamento público para credenciamento de agricultores teve seus prazos afetados pela situação de calamidade e emergência pública._x000D_
";308;2305;1;158000;0
"33";30823052;1000;0;"Unidade";"Ponto de Comercialização Ativo";"300";"272";"O edital realizado em 2019/2020 não resultou na ocupação de todos os pontos de comercialização ofertados. Ademais, por conta da pandemia, tivemos algumas desistências e não foi possível fazer um novo chamamento para recompor as vagas disponíveis.";5000;0;"Unidade";"Feira realizada";"59";"59";"Para além do custo administrativo, não há custo financeiro, pois a execução é realizada por meio de editais de permissão precária de uso de logradouro público, o que gera arrecadação ao município por meio do pagamento do valor do Documento Municipal.";0;0;"Unidade";"Feira realizada";"59";"59";"-";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Feiras Livres";308;2305;2;"Ponto de Comercialização Ativo";"Unidade";400;252;"Aumento de pedidos de baixa nos licenciamentos, avaliação da equipe é de inviabilidade de realização de chamamento público em período de retração econômica devido à situação de calamidade e emergência da pandemia._x000D_
";308;2305;2;26000;0
"34";30823053;1000;0;"Unidade";"Ponto de Comercialização Ativo";"30";"24";"O edital realizado em 2019/2020 não resultou na ocupação de todos os pontos de comercialização ofertados. Ademais,  por conta da pandemia, tivemos algumas desistências e não foi possível fazer um novo chamamento para recompor as vagas disponíveis.


";5000;0;"Unidade";"Feira realizada";"2";"2";"Para além do custo administrativo, não há custo financeiro, pois a execução é realizada por meio de editais de permissão precária de uso de logradouro público, o que gera arrecadação ao município por meio do pagamento do valor do DML";0;0;"Unidade";"Feira realizada";"2";"2";"-";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Realização de Feiras gastronômicas culturais - Feira Modelo";308;2305;3;"Ponto de Comercialização Ativo";"Unidade";27;22;"Pedidos de baixa nos licenciamentos, visto a interrupção de atividade devido a decretos municipais que limitaram serviços. A avaliação da equipe é de inviabilidade de realização de chamamento público em período de pandemia.";308;2305;3;1000;0
"35";30823054;1000;0;"Unidade";"Ponto de Comercialização Ativo";"50";"39";"Por conta da pandemia tivemos algumas desistências e não foi possível fazer um novo chamamento para recompor os pontos de comercialização disponíveis.


";5000;0;"Quilo";"Alimento comercializado";"4,00E+05";"652855,42";"A superação da meta do ano diz respeito ao aumento da demanda pelos produtos comercializados.";0;0;"Quilo";"Alimento comercializado";"3500";"524406,33";"Os dados desta meta são fornecidos pelos feirantes  por meio de romaneio. Em 2018 a comercialização superou a meta estabelecida. Foi realizada revisão para PPAG 2019";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Comercialização direta de produtores da região metropolitana de BH - Direto da Roça";308;2305;4;"Ponto de Comercialização Ativo";"Unidade";50;32;"Aumento de pedidos de baixa nos licenciamentos, avaliação da equipe é de inviabilidade de realização de chamamento público em período de retração econômica devido à situação de calamidade e emergência da pandemia._x000D_
";308;2305;4;1000;0
"36";30823055;1000;0;"Unidade";"Ponto de Comercialização Ativo";"25";"21";"O edital realizado em 2019/2020 não resultou na ocupação de todos os pontos de comercialização ofertados. Ademais,  por conta da pandemia, tivemos algumas desistências e não foi possível fazer um novo chamamento para recompor as vagas disponíveis.";5000;0;"Quilo";"Alimento comercializado";"90000";"109970,67";"Superação da meta devido ao aumento da comercialização de produtos orgânicos";10000;0;"Quilo";"Alimento comercializado";"300";"97960,65";"Os dados desta meta são fornecidos pelos feirantes  por meio de romaneio. Em 2018 a comercialização superou a meta estabelecida. Foi realizada revisão para PPAG 2019";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Comercialização de Alimentos Orgânicos Direto do Produtor - Feira de Orgânicos";308;2305;5;"Ponto de Comercialização Ativo";"Unidade";25;20;"Baixa adesão no credenciamento realizado entre 2019 e 2020. A avaliação da equipe é de inviabilidade de realização de chamamento público em período de retração econômica devido à situação de calamidade e emergência da pandemia._x000D_
";308;2305;5;1500;0
"37";30823056;78566;74929,71;"-";"-";"-";"-";"-";50300;20213,31;"Unidade";"Feira monitorada";"200";"217";"Após redefinições logísticos gerenciais no monitoramento logrou-se cumprir a meta com pequena superação.";6000;0;"Unidade";"Feira realizada";"15";"4";"Execução abaixo da meta dadas as restrições administrativas e/ou gerenciais, quanto a logística para a realização do trabalho (indisponibilidade de veículo). Realizada a revisão para 2019, readequando produto que será APOIO TECNICO REALIZADO";"BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável";"Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento";"Monitoramento às Feiras da Capital";NA;NA;NA;NA;NA;NA;NA;NA;308;2305;6;92577;66183,88
