uo,nome_uo,funcao,nome_funcao,subfuncao,nome_subfuncao,programa,nome_programa,projativ,nome_projativ,subitem_projativ,nome_subitem_projativ,valor_orcado,credito_disponivel,valor_empenhado,valor_liquidado,valor_pago,saldo_empenho_dezembro_câmara,saldo_emp_liq_dezembro_câmara,valor_liquidado,valor_pago
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,4,Valorização do Servidor,42000,42000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,5,Manutenção dos Mecanismos de Controle nos Equipamentos Públicos que prestam Atendimento ao Cidadão,50000,60000,18144,18144,18144,0,0,18144,18144
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,6,Planejamento e Acompanhamento de Recursos Humanos,144820,10020,6900,"5410,25","4900,17",0,0,"5410,25","4900,17"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,1,Qualificação dos Processos da Secretaria Municipal de Saúde,1200000,327800,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,2,Implantação do Sistema de Gestão e Planejamento de Contratos e Ordens de Serviços,65000,65000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,3,Implementação de Sistema de Tramitação Eletrônica de Documentos Administrativos da PBH,100000,100000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,4,"Implantação de Sistema Integrado de Gestão para as Áreas Administrativa, Orçamentário-financeira, Previdenciária e Recursos Humanos",13600000,721244,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,5,Implantação de Solução de Cadastro Multifinalitário no Âmbito da PBH,3962000,773721,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,6,Implementação de Projetos Estratégicos,726000,4723760,"3064200,02","1124077,82","1124077,82",0,0,"1124077,82","1124077,82"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,7,Implantação de Sistema de Gestão de Arquivos e Controle de Temporalidade no Âmbito da PBH,500000,500000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,8,Implantação de Sistema de Recursos Humanos no Âmbito do Hospital HOB,1271900,324900,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,9,Redesenhar e Otimizar Processos Críticos da PBH,3000000,2898100,2000000,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,166,Prefeitura Moderna e Eficiente,2900,Serviços Administrativos e Financeiros,1,Serviços Administrativos e Financeiros,5040000,3605800,"2912047,55","2906983,71","2905722,05",0,0,"2906983,71","2905722,05"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,1,Integração do SIGESP com Sistemas Finalísticos e Aplicativo Móvel da PBH,1695000,1007195,"516824,4","168968,13","136133,33",0,0,"168968,13","136133,33"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,2,Readequação dos Balcões de Atendimento,967000,795000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,3,Implantação da Base Única do Cidadão - BUC,864000,864000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,4,Gestão do 156 -  Canal Telefônico de Atendimento,6750000,6750000,6266000,"5565786,84","5053515,84",0,0,"5565786,84","5053515,84"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,5,Gestão da Operação da Central BHResolve,7912180,10080580,"9649150,25","9400079,3","8962416,47",0,0,"9400079,3","8962416,47"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,6,Desenvolvimento de um Novo Aplicativo Móvel de Relacionamento com o Cidadão,869700,897700,286585,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,7,Desenvolvimento de Novas Funcionalidades e os Módulos de Gestão de Conteúdo Institucional e Serviços no Novo Portal da PBH,1003500,2036305,"647682,1",0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,9,Previdência Social,122,Administração Geral,26,Gestão Previdenciária Municipal,2174,Gerenciamento do Sistema de Previdência,1,Gerenciamento do Sistema de Previdência,3439000,3439000,"3166086,98","3166086,98","3166086,98",0,0,"3166086,98","3166086,98"
600,SEC. PLANEJ. ORÇAM. GESTÃO,11,Trabalho,331,Proteção e Benefícios ao Trabalhador,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,1,Prevenção e Promoção da Saúde,279840,158840,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,11,Trabalho,331,Proteção e Benefícios ao Trabalhador,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,2,Gestão dos Contratos de Saúde do Trabalhador,4815860,4941860,"4879032,83","4334332,01","4307082,41",0,0,"4334332,01","4307082,41"
600,SEC. PLANEJ. ORÇAM. GESTÃO,11,Trabalho,331,Proteção e Benefícios ao Trabalhador,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,3,Contratação de exames Videolaringoestroboscopia ,378000,378000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,11,Trabalho,331,Proteção e Benefícios ao Trabalhador,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,4,Programa de Promoção e Prevenção a Riscos Ambientais,12000,7000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,11,Trabalho,331,Proteção e Benefícios ao Trabalhador,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,5,Contratação de LTCAT para entrega de Perfil Profissiográfico Previdenciário ,6000,6000,2083,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,148,"Gestão do Planejamento, Orçamento e Informação",1373,Gestão do Plano Diretor de Informática,1,Gestão do Plano Diretor de Informática - Aquisições Corporativas de equipamentos de TIC,5755194,5755194,"1424265,93","1307804,07","1307804,07",0,0,"1307804,07","1307804,07"
600,SEC. PLANEJ. ORÇAM. GESTÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,148,"Gestão do Planejamento, Orçamento e Informação",1373,Gestão do Plano Diretor de Informática,2,Internet Banda Larga Disponibilizada em Vilas e Favelas,3311600,3316600,"299252,1","72893,32","72893,32",0,0,"72893,32","72893,32"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,12,Educação,361,Ensino Fundamental,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,1,Gestão de Contrato de Serviços de Informática a Educação,21000,1581200,"1232882,55","1028172,39","959791,2",0,0,"1028172,39","959791,2"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,122,Administração Geral,85,Gestão da Política de Tecnologia da Informação e Comunicação,2900,Serviços Administrativos e Financeiros,1,Serviços Administrativos e Financeiros,41999685,42467685,"36899572,45","34513777,61","33709240,28",0,0,"34513777,61","33709240,28"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,122,Administração Geral,85,Gestão da Política de Tecnologia da Informação e Comunicação,2900,Serviços Administrativos e Financeiros,2,Formação e Capacitação em Tecnologia da Informação,80000,11000,"7714,9","3199,9","3199,9",0,0,"3199,9","3199,9"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,126,Tecnologia da Informação,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,1,Manutenção dos Centros de Inclusão Digital,21200,21200,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,126,Tecnologia da Informação,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,2,Recondicionamento de Computadores,367298,320321,"269164,01","241226,31","237216,31",0,0,"241226,31","237216,31"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,126,Tecnologia da Informação,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,3,Gestão de Contratos - Qualificação em TIC - Tecnologia da Informação e Comunicação,2921350,2995966,"1987363,65","1941980,13","1908009,52",0,0,"1941980,13","1908009,52"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,126,Tecnologia da Informação,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,4,Disponibilização de Acesso aos Telecentros,40000,12361,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,302,Assistência Hospitalar e Ambulatorial,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,2,Gestão de Contrato de Serviços de Informática a Saúde,1024486,2756582,"2282233,44","1605682,25","1464952,94",0,0,"1605682,25","1464952,94"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",1,Melhoria dos Processos de Suporte e Entrega a Serviços de TIC,9807010,9398943,"8290927,8","8137954,02","8097020,51",0,0,"8137954,02","8097020,51"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",2,Evolução dos Datacenters às Demandas de Serviços de TIC da PBH,30006506,31195499,"24989606,41","24413489,18","24249337,96",0,0,"24413489,18","24249337,96"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",3,Atualização do Parque Computacional de Desktop da Prodabel ,402275,294575,"3332,25","3332,25","3332,25",0,0,"3332,25","3332,25"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",4,Revisão das Políticas de Backup e Descarte de Informações Geradas pelos Sistemas Críticos de Informação da PBH ,110000,110000,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2603,Implantação de Soluções e Modernização de Sistemas ,1,"Gestão de Investimentos e Contratos de Softwares, Consultoria e Treinamentos",33471157,33658657,30660978,"29327453,08","29122300,23",0,0,"29327453,08","29122300,23"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,3,Reestruturação do Ambiente de Monitoramento,375000,375000,"368118,63","327360,99","327360,99",0,0,"327360,99","327360,99"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,4,Expansão da Rede Óptica da PBH ,5142666,4500208,"3616269,76","3216140,1","3216140,1",0,0,"3216140,1","3216140,1"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,5,"Evolução da Rede de Telecomunicação da PBH - Expansão, Modernização, Substituição",4647551,4717551,"1749729,51","1353837,01","1353837,01",0,0,"1353837,01","1353837,01"
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,6,Mapeamento do Grau de Aderência da PBH em Gestão de Segurança da Informação,1451664,873652,13680,13680,13680,0,0,13680,13680
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,302,Belo Horizonte Cidade Inteligente,2603,Implantação de Soluções e Modernização de Sistemas ,2,Implantação de Solução e Modernização de Sistemas,2000,2000,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,1,Realização de Eventos/Hackatons,20000,20000,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,2,Disponibilização de API - Interface de Programação de Aplicativo,2000,2000,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,3,Implantação do Portal Rota da Tecnologia,2000,2000,0,0,0,0,0,0,0
604,EMPRESA INFORMÁTICA INFORMAÇÃO,19,Ciência e Tecnologia,572,Desenvolvimento Tecnológico e Engenharia,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,4,Fornecimento de Conectividade para a Comunidade de TI,463216,463216,0,0,0,0,0,0,0
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,2925,Indenizações e Restituições de Bens ao Município,1,Indenizações e Restituições de Bens ao Município,0,14043810,"14043809,82","14043809,82","14043809,82",0,0,"14043809,82","14043809,82"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3004,Encargos e Benefícios Previdenciários - PBH,1,Encargos e Benefícios Previdenciários com Inativos e Pensionistas - PBH,509677367,533177367,"516775507,24","516577968,87","516577968,87",0,0,"516577968,87","516577968,87"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3004,Encargos e Benefícios Previdenciários - PBH,2,Encargos e Benefícios Previdenciários com Ativos - PBH,3212159,3782159,"3722817,37","3722817,37","3722817,37",0,0,"3722817,37","3722817,37"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3005,Encargos e Benefícios Previdenciários - Educação,1,Encargos e Benefícios Previdenciários com Inativos e Pensionistas - Educação,561088084,561088084,"540091394,43","540091394,43","540091394,43",0,0,"540091394,43","540091394,43"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3005,Encargos e Benefícios Previdenciários - Educação,2,Encargos e Benefícios Previdenciários com Ativos - Educação,5633480,6573480,"6452445,85","6452445,85","6452445,85",0,0,"6452445,85","6452445,85"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3006,Encargos e Benefícios Previdenciários - Autarquias e Fundações,1,Encargos e Benefícios Previdenciários - FPMZB,204094,374094,"231537,04","231537,04","231537,04",0,0,"231537,04","231537,04"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3006,Encargos e Benefícios Previdenciários - Autarquias e Fundações,2,Encargos e Benefícios Previdenciários - FMC,102286,102286,"66442,84","66442,84","66442,84",0,0,"66442,84","66442,84"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3006,Encargos e Benefícios Previdenciários - Autarquias e Fundações,3,Encargos e Benefícios Previdenciários - HOB,1038233,1038233,"845999,93","845999,93","845999,93",0,0,"845999,93","845999,93"
613,FUNDO FINANCEIRO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3007,Encargos e Benefícios Previdenciários - Câmara,1,Encargos e Benefícios Previdenciários - CMBH,1084955,1084955,"822711,28","822711,28","822711,28",0,0,"822711,28","822711,28"
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,2871,Gerenciamento da Taxa de Administração para RPPS,1,Gerenciamento da Taxa de Administração para RPPS,3258915,6920530,"5290343,99","1855014,25","1825670,47",0,0,"1855014,25","1825670,47"
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,2871,Gerenciamento da Taxa de Administração para RPPS,2,Operação e Manutenção dos Bens e Equipamentos do RPPS,984281,984281,"105606,15","105606,15","105606,15",0,0,"105606,15","105606,15"
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,2871,Gerenciamento da Taxa de Administração para RPPS,3,Modernização da Gestão Previdenciária,3000,1210000,"1159439,17","1159439,17","1159439,17",0,0,"1159439,17","1159439,17"
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,2871,Gerenciamento da Taxa de Administração para RPPS,4,Modernização da Gestão de Documentos da PBH e Sistema de Temporalidade de Documentos,4000,4000,0,0,0,0,0,0,0
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3004,Encargos e Benefícios Previdenciários - PBH,1,Encargos e Benefícios Previdenciários com Inativos e Pensionistas - PBH,572888,592888,"580102,09","580102,09","580102,09",0,0,"580102,09","580102,09"
614,FUNDO PREVIDENCIÁRIO,9,Previdência Social,272,Previdência do Regime Estatutário,26,Gestão Previdenciária Municipal,3004,Encargos e Benefícios Previdenciários - PBH,2,Encargos e Benefícios Previdenciários com Ativos - PBH,1647716,2087716,"1851263,52","1851263,52","1851263,52",0,0,"1851263,52","1851263,52"
