Programa,Ação,Subação, Orçado (2019), Empenhado (2019),Produto, Previsto, Executado,Justificativa,Comentários,Projeto estratégico
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,2 - Alimentação para Unidades Municipais de Educação Infantil - UMEIS,8293608,"9272922,99",Refeição Servida,21712200,24459304,"Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende da adesão destes beneficiários.",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,3 - Alimentação para as Unidades do Programa Escola Integrada,11563016,"4901950,03",Refeição Servida,20996400,16555701,"Alterações de demanda em relação aos produtos ou serviços ofertados à população. Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.
",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,4 - Alimentação para as Unidades de Educação de Jovens e Adultos - EJA,1224040,"1101134,79",Refeição Servida,2791800,2124724,"Alterações de demanda em relação aos produtos ou serviços ofertados à população. Apesar do registro de número de alunos matriculados, o dimensionamento da meta depende  da adesão destes beneficiários.
",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,6 - Alimentação para as Unidades de Creches Parceiras,10349284,"10578267,74",Refeição Servida,20614000,22730847,"Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende  da adesão destes beneficiários.
",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,7 - Gestão e Monitoramento da Alimentação Escolar,167360,"218193,58",-,,,-,"- Segundo PBH (2018),  ""a gestão divide-se nas etapas de planejamento e gestão de compras de gêneros alimentícios; logística, armazenamento, controle de estoque e controle de qualidade; e supervisão alimentar. A supervisão alimentar ocorre por visitas técnicas a todas as instituições de ensino, para acompanhamento e monitoramento da execução in loco. A supervisão conta com o SISAN - Sistema de Supervisão Alimentar e Nutricional, que é um aplicativo de celular com listas de verificação e índice de conformidades, pautados na legislação, que auxiliam na padronização das condutas e emissão de relatórios. Toda visita técnica gera um relatório ao gestor escolar com orientações e prazos para adequações, quando for o caso. A gestão do PNAE é realizada de forma compartilhada com a Secretaria Municipal de Educação e fiscalizada pelo Conselho de Alimentação Escolar."" ",N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,8 - Alimentação para as Unidades Parceiras de Atendimento Educacional Integrado,1060000,"978337,63",Refeição Servida,1876662,1857199,"Alterações de demanda em relação aos produtos ou serviços ofertados à população. Apesar do registro de número de crianças e adolescentes cadastrados, o dimensionamento da meta depende  da adesão destes beneficiários.",,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,10 - Aquisição de Alimentos em Compras da Agricultura Familiar no âmbito do Programa Nacional de Alimentação Escolar - PNAE,750, -,Alimento Adquirido (percentual),30,12,"Restrições: licitações. Houve alteração do posicionamento institucional da CCG em relação à pesquisa de preços da Agricultura Familiar; morosidade dos processos licitatórios; e dificuldade de mobilização, organização e logísitica por parte das cooperativas e associações.",,S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,11 - Alimentação para alunos da rede pública e parceira (Covid-19), -, -,Cesta básica concedida, -, -,,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,"12 - Alimentação Escolar para as unidades de Educação Infantil, Ensino Fundamental e EJA", -, -,Refeição Servida,,,,"- Até 2020, a subação estava dividida em outras três, dentro da mesma ação.",N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,1 - Implantação e Manutenção dos Territórios Sustentáveis,8500,30,Banco de sementes implantado,1,  -   ,"Restrições administrativas e/ou Gerenciais. A execução financeira registrada refere-se a pagamento de multa de INSS. A meta não foi executada devido ao estágio de implementação do Programa, que focou no ano de 2019 na implantação de unidades produtivas.","- Em 2019, a subação se chamava ""Implantaçaõ do Banco de Sementes Agroecológicas""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,2 - Implantação Pomar Comunitário Agroecológico,80000, -,Pomar implantado,5,4,Alterações de demanda em relação aos produtos ou serviços ofertados à população. A execução contou com insumos adquiridos anteriormente. A superação da meta deveu-se a ampliação na demanda.,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,3 - Atendimento Quintal Produtivo Agroecológico,100000,10285,Quintal beneficiado,200,319,Ampliação da meta devido à ampla demanda e parceria com EMATER,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,4 - Implantação e Manutenção de Sistemas Agroecológicos em Unidades Produtivas Coletivas/Comunitárias ,517500,"910152,07",Sistema Agroecológico Atendido,69,41,Erro no dimensionamento da meta. A meta estava super dimensionada. O número foi corrigido na revisão do PPAG 2020.,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,5 - Implantação Viveiro de Mudas Agroecológico,1000, -,Viveiro implantado,1,1,Valor executado com insumos comprados anteriormente,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,6 - Formação e Qualificação em Agricultura Urbana e Agroecologia,500, -,Pessoa capacitada,2000,2850,As oficinas são realizadas apenas com o uso de recursos humanos. Ampliação da meta devido à ampla demanda.,"Em 2019 a subação se chamava ""Oficinas e Formação e Qualificação""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,8 - Agroindústria de Pequeno Porte,1500, -,Empreendimento implantado,15,  -   ,Restrições administrativas e/ou Gerenciais. Meta não realizada devido ao estágio de execução do Programa.,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,9 - Implantação e Manutenção do Centro de Agroecologia e Educação Ambiental para Resíduos Orgânicos,28650, -,Pecentual de núcleo implantado,50,50,,"Em 2019 a ação se chamava ""Implantação do Núcleo Municipal de Apoio à Agricultura Urbana e Periurbana Agroecológica""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,10 - Implantação corredor Agroecológico,180000, -,Percentual de Corredor implantado,60,0,"Restrições institucionais. A meta não foi executada, devido a replanejamento interno da Prefeitura. A meta foi suprimida na revisão do PPAG 2020.",,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,12 - Manutenção de Sistemas Agroecológicos em Unidades Produtivas Escolares e Institucionais Novas e Existentes,182000,11710,Sistema Agroecológico implantado,160,223,Superação da meta física devido à ampliação da demanda.,"Em 2019 a subação se chamava ""Implantação de Sistemas Agroecológicos Escolares e Institucionais""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,13 - Central da Agricultura Familiar e Banco de Alimentos,1283882,"1122876,65",Alimento doado (kg),250000,387905,"Ampliação da rede de doadores, bem como do estabelecimento de parceria entre os Bancos de Alimentos da RMBH, resultando na superação da meta.",,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,14 - Assessoria técnica - facilitadores da agroecologia,144000, -,Facilitador contratado,8,  -   ,"Restrção: licitações. Não houve consenso sobre qual o instrumento mais adequado para realização desta contratação, que deve necessariamente estar atrelada a um produto. A meta foi redefinida para 2021, conforme emenda parlamentar realizada na revisão de 2020 do PPAG.",,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,1 - Operacionalização do Programa de Aquisição de Alimentos da Agricultura Familiar - PAA,121100,"49615,76",Produtor beneficiado,70,43,"Restrição: Financiamento Externo. A diminuição da meta deve-se à diminuição do valor disponibilizado para o PAA pelo Governo Federal, em relação ao valor esperado, além de atraso na execução do chamamento público vigente, que terminará em março de 2020.","Em 2019 a ação se chamava ""Operacionalização da comercialização Direta da Agricultura Urbana e Familiar""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,2 - Feiras Livres ,5000, -,Feira realizada,59,59,"Para além do custo administrativo, não há custo financeiro, pois a execução é realizada por meio de editais de permissão precária de uso de logradouro público, o que gera arrecadação ao município por meio do pagamento do valor do Documento Municipal.",- Havia perspectiva de chamamento público no 1º semestre de 2019 para ampliação de vagas.,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,3 - Realização de Feiras gastronômicas culturais - Feira Modelo,5000, -,Feira realizada,2,2,"Para além do custo administrativo, não há custo financeiro, pois a execução é realizada por meio de editais de permissão precária de uso de logradouro público, o que gera arrecadação ao município por meio do pagamento do valor do DML","- Em 2018, eram 22 feirantes - 12 na Feira do Santo Agostinho e 10 na Savassi. Estava prevista uma requalificação em 2019.
- Feirantes são selecionados(as) por licitação (maior preço por metro quadrado).",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,4 - Comercialização direta de produtores da região metropolitana de BH - Direto da Roça,5000, -,Alimento comercializado (kg),400000,652855,A superação da meta do ano diz respeito ao aumento da demanda pelos produtos comercializados.,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,5 - Comercialização de Alimentos Orgânicos Direto do Produtor - Feira de Orgânicos,5000, -,Alimento comercializado (kg),90000,109971,Superação da meta devido ao aumento da comercialização de produtos orgânicos,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,6 - Monitoramento às Feiras da Capital,50300,"20213,31",Feira monitorada,200,217,Após redefinições logísticos gerenciais no monitoramento logrou-se cumprir a meta com pequena superação.,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,7 - Programa Abastecer - Alimentos a Baixo Custo,5000, -,Alimento comercializado (kg),35000,24164,Alterações de demanda em relação aos produtos ou serviços ofertados à população. A meta anual não foi atingida devido a diminuição da demanda pelos produtos comercializados nos equipamentos.,"- Sacolões ABasteCer são geridos por pessoas jurídicas permissionárias, selecionads por edital de licitação.",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,14 - Plataformas digitais de divulgação e articulação de experiências de consumo saudável,19000, -,Percentual de Sistema desenvolvido,25,  -   ,Restrições administrativas e/ou Gerenciais. A ação não foi executada devido a outras priorizações. A ação foi retirada do escopo na revisão do PPAG 2020.,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,15 - Implantação e Manutenção da Feira de Agricultura Urbana e Pontos Regionais de Comercialização da Agricultura Urbana - ,36000,37280,Feira realizada,3,  -   ,"Licitações. O Edital foi concluído, mas está em etapa final de tramitação, para abertura no primeiro bimestre de 2020. As despesas realizadas em 2019 são ref aquisição equipamentos e barracas.","Em 2019 a subação se chamava ""Feira da Agrcultura Urbana""",S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,17 - Banco de Alimentos: doação de alimentos a instituições socioassistenciais , -, -,Alimento doado (toneladas), -, -,-,,S
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,18 - Mercados Municipais Revitalizados , -, -,Mercado Revitalizado, -, -,,Subação não existente em 2019,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,19 - Implantação da Central de Abastecimento da Agricultura Familiar e Urbana, -, -,Central implantada, -, -,-,Subação não existente em 2019,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,1 - Estratégias Educativas para Promoção do Consumo Alimentar Saudável e Sustentável com Ferramentas Lúdicas de Mobilização,65000,"82271,95",Pessoa Participante,10000,15711,revisão da metodologia de atendimento do Projeto Esquadrão da alimentação nas escolas impactando no atendimento a partir de agosto. Expansão do projeto para todos os anos do ensino fundamental e atendimento simultâneo: maior número de turmas por dia.,"Em 2019 a subação se chamava ""Oficinas Educativas para Promoção do consumo Alimentar Saudável e Sustentável"".",N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,2 - Formação e Assessoria Tecnica para Multiplicadores em Educação Alimentar e Nutricional,,,Pessoa capacitada,2200,7564,ampliação do número de alunos por evento pelo grupo de teatro MOBS no Projeto Esquadrão da Alimentação e incorporação da ação de arte mobilização a eventos de EAN com parceiros na cidade (SMEL e SMSA) geraram um alcance maior do que previsto.,"Em 2019 a subação se chamava ""Educação Alimentar e Nutricional com Estratégias de Arte Mobilização"".",N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,3 - Circuitos de Segurança Alimentar e Nutricional Sustentável,5000, -,Evento realizado,6,8,Incorporação da Educação Alimentar e Nutricional (EAN) a eventos com parceiros na cidade e atendimento aos Restaurantes Populares levaram à superação da meta,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,4 - Qualificação em Boas Práticas para Manipuladores de Alimentos,41680,"42753,46",Pessoa Participante,400,598,"Ampliação da demanda, conforme justificativa anterior","Em 2019 a subação se chamava ""Formação de Profissionais da Manipulação de Alimentos da Rede Municipal e conveniada""",N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2334 - Participação Popular,2 - Apoio aos Conselhos Municipais, -, -,-, -, -,-,,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"1 - Realização de Cursos de Qualificação nas Áreas de Gastronomia, Empreendedorismo Grastronômico e Agroecologia",380418,"167521,1",Certificado emitido,1000,3055,"Houve aumento na demanda, em especial das turmas de agroecologia, o que resultou em aumento da oferta, com ganho de eficiência, bem como na revisão da meta de 2020","Em 2019 a subação se chamava ""Realização de Cursos de Qualificação na Área de Gastronomia/Panificação""",N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,3 - Realização de Eventos Gastronômico-Culturais, -, -,Evento realizado,6,3,"Administrativas e/ou Gerenciais. Revisão de Calendário, uma vez que houve atrasos na subação 0005, e as ações estavam progamadas para ocorrer simultâneamente",,N
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"5 - Realização de Oficinas, Rodas de Negócios e Workshop",4000,2400,Pessoa Participante,180,95,"Licitações. Trata-se de Workshop's de técnicas culinárias tradicionais, mas o Termo de referência p execução de parte das ações está em etapa final p publicação. A meta realizada ocorreu com a utilização de recursos disponíveis no Mercado da Lagoinha, sem custos",,N
307 - Sustentabilidade e Educação Ambiental,2912 - Preservação Ambiental e Desenvolvimento Sustentável,5 - Implantação de Agroflorestas Urbanas,55000, -,Agrofloresta implantada,2,6,"O projeto recebeu uma grande aderência do governo no ano de 2019, o que significou maior aporte de recursos financeiros e humanos, razão pela qual o valor final do produto superou a meta estabelecida.",,
