Programa,Ação,Subação, Orçado (2018), Empenhado (2018),Produto,Previsto,Executado,Justificativa,Comentários,Projeto estratégico,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,1 - Alimentação para as Unidades de Ensino Fundamental,8713868,"9557480,62",Refeição Servida,20820200,16205384,"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado",,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,2 - Alimentação para Unidades Municipais de Educação Infantil - UMEIS,8759860,"8309278,41",Refeição Servida,21712200,22519828,Houve aumento da demanda em razão da ampliação do número de vagas nas Umeis ao longo do ano.,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,3 - Alimentação para as Unidades do Programa Escola Integrada,11596697,"11006338,74",Refeição Servida,20996400,18455787,"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado.",,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,4 - Alimentação para as Unidades de Educação de Jovens e Adultos - EJA,1025384,"1074040,31",Refeição Servida,2791800,2753971,"A demanda é espontânea, por isso, a meta prevista pode não corresponder ao executado.",,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,5 - Atendimento das Demandas de Dietas Especiais,1000,  -   ,Percentual de atendimento da demanda,100,100,,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,6 - Alimentação para as Unidades de Creches Parceiras,10168925,"8916194,4",Refeição Servida,20614000,20657858,"A demanda depende da frequência, além de ter havido redimensionado do número de vagas nas creches.",,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,7 - Gestão e Monitoramento da Alimentação Escolar,3387281,"3411672,32",-,,,,,N,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,8 - Alimentação para as Unidades Parceiras de Atendimento Educacional Integrado,1000000,"1003316,57",Refeição Servida,1846800,1973740,"A demanda é espontânea e pode variar ao longo do ano, conforme cardápio e frequência.",,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,9 - Controle de Qualidade e Monitoramento dos Generos Alimentícios ,1000,  -   ,Análise efetuada,300,307,Depende das demandas licitação e fornecimento de gêneros alimentícios ao longo do ano.,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,10 - Aquisição de Alimentos em Compras da Agricultura Familiar no âmbito do Programa Nacional de Alimentação Escolar - PNAE,1000,  -   ,Alimento Adquirido (kg),500000,285448,Ausência de informações do Mapa de Produção da Agricultura Familiar, fragilidade da organização dos pequenos agricultores e pouca agilidade dos processo e fluxos de licitação.,,S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,11 - Alimentação para alunos da rede pública e parceira (Covid-19),,,Cesta básica concedida,-,-,,,N,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,"12 - Alimentação Escolar para as unidades de Educação Infantil, Ensino Fundamental e EJA",,,Refeição Servida,-,-,,,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,1 - Implantação e Manutenção dos Territórios Sustentáveis,16625,  -   ,Mudas produzidas,12000,0,Produto definido foi inadequado para a subação. Foi realizada a revisão para o PPAG 2019 e o Produto será UNIDADE IMPLANTADA.,"Em 2018 a subação se chamava ""Implantação Banco de Sementes Agroecológicas""",S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,2 - Implantação Pomar Comunitário Agroecológico,12500,  -   ,Pomar implantado,1,0,"Houve dificuldades na execução dos processos licitatórios, pois o pregão para aquisição das frutíferas fracassou.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,3 - Atendimento Quintal Produtivo Agroecológico,54000,  -   ,Família beneficiada,5,152,Meta foi subestimada. Foi realizada revisão para PPAG 2019,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,4 - Implantação e Manutenção de Sistemas Agroecológicos em Unidades Produtivas Coletivas/Comunitárias ,1456000,"771394,31",Horta ativa,73,28,Números iniciais agregavam HORTAS COMUNITARIAS E INSTITUCIONAIS. Houve a adequação separando-os em duas subações. Porém não se retirou os valores correspondentes e o total de ambos permaneceu na subação Hortas Comunitárias.,"Em 2018 a subação se chamava ""Implantação e Manutenção das Hortas Comunitárias""",S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,5 - Implantação Viveiro de Mudas Agroecológico,16125,  -   ,Mudas produzidas,12000,248000,"Produto não relacionado à subação, mas como não havia uma meta específica para lançá-lo, o registro foi feito aqui. Meta ultrapassada em função do aumento na produção total de mudas no ano. Foi realizada revisão para 2019 e o produto será PERCENTUAL",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,6 - Formação e Qualificação em Agricultura Urbana e Agroecologia,52000,  -   ,Pessoa capacitada,500,1664,A meta foi ultrapassada porque foi subdimensionada na elaboração inicial do PPAG. Foi realizada revisão para PPAG 2019,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,7 - Implantação de grupos de Produção e Comercialização,92500,10200,Grupo implantado,69,69,,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,8 - Agroindústria de Pequeno Porte,355500,  -   ,Grupo implantado,15,0,"Houve alteração da meta para 2018. A ação não se iniciou, devido a revisão na metodologia do Programa e aprofundamento de estudos.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,9 - Implantação e Manutenção do Centro de Agroecologia e Educação Ambiental para Resíduos Orgânicos,54000,  -   ,Núcleo implantado,15,15,,"Em 2018 a subação se chamava ""Implantação do Núcleo Municipal de Apoio à Agricultura Urbana e Periurbana""",S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,10 - Implantação corredor Agroecológico,41000,  -   ,Corredor implantado,30,34,"A meta física reflete as primeiras ações de elaboração e discussão da intervenção. O ano de 2018 foi destinado ao planejamento, consolidação e articulação do projeto, com um pequeno avanço além do previsto.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,"11 - Implantação Empreendimento Social de Produção Coletiva da Juventude (Teto verde-CRJ)
",78250,  -   ,Teto produzido (percentual),85,0,"A meta consistia na implantação de um teto verde no equipamento público do CRJ. Após a análise, foi identificado que a ação é inviável, razão pela qual ela não foi executada.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,12 - Manutenção de Sistemas Agroecológicos em Unidades Produtivas Escolares e Institucionais Novas e Existentes,14000,  -   ,Horta ativa,160,191,"Em 2018 SMED apresentou novas demandas e havia disponibilidade para oferta de assistência técnica e apoio com insumos (cercamento, oficinas de formação, mudas, ferramentas, adubos e orientação técnica), superando assim a meta definida inicialmente.",,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,13 - Central da Agricultura Familiar e Banco de Alimentos,1554000,"613319,25",Alimento doado (kg),250000,210221,"Ao se definir a meta foi previsto um aumento de 28% na quantidade de alimentos doados em 2018, porém as organizações parceiras não tiveram aumento no quantitativo de doações, não sendo possível controlar esse resultado, nem atingir a meta definida.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2121 - Fortalecimento da Produção da Agricultura Urbana Agroecológica,14 - Assessoria técnica - facilitadores da agroecologia, -, -,Facilitador contratado,-,-,,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,1 - Operacionalização do Programa de Aquisição de Alimentos da Agricultura Familiar - PAA,968000,"928250,44",Produtor beneficiado,70,46,"Meta estipulada com base no recurso a ser disponibilizado pelo governo federal. Em 2018 foi considerado valor remanescente do liberado em 2017 e havia expectativa de recebimento de novos recursos que so ocorreu em dezembro, inviabilizando plena exec.",,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,2 - Feiras Livres , -, -,Feira realizada,59,59,,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,3 - Realização de Feiras gastronômicas culturais - Feira Modelo, -, -,Feira realizada,2,2,,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,4 - Comercialização direta de produtores da região metropolitana de BH - Direto da Roça, -, -,Alimento comercializado (kg),3500,524406,Os dados desta meta são fornecidos pelos feirantes por meio de romaneio. Em 2018 a comercialização superou a meta estabelecida. Foi realizada revisão para PPAG 2019,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,5 - Comercialização de Alimentos Orgânicos Direto do Produtor - Feira de Orgânicos,10000,  -   ,Alimento comercializado (kg),300,97961,Os dados desta meta são fornecidos pelos feirantes por meio de romaneio. Em 2018 a comercialização superou a meta estabelecida. Foi realizada revisão para PPAG 2019,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,6 - Monitoramento às Feiras da Capital,6000,  -   ,Feira realizada,15,4,"Execução abaixo da meta dadas as restrições administrativas e/ou gerenciais, quanto a logística para a realização do trabalho (indisponibilidade de veículo). Realizada a revisão para 2019, readequando produto que será APOIO TECNICO REALIZADO",,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,7 - Programa Abastecer - Alimentos a Baixo Custo,,,Alimento comercializado (tonelada),40000,25626,"Execução inferior devido a diminuição nas vendas em relação a 2017, entrega da unidade do Alto Vera Cruz e fechamento de duas unidades para realização de reforma (Saudade e Betânia).",,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,9 - Revitalização da Feira Coberta do Padre Eustáquio,1000,  -   ,Percentual de Intervenção implantada,25,0,As ações de revitalização da Feira Coberta do Padre Eustáquio ficaram suspensas em 2018 em função do andamento do Procedimento de Manifestação de Interesse (PMI) dos mercados públicos do município.a cargo da PBH Ativos.,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,10 - Revitalização do Centro de Abastecimento Municipal,1000,  -   ,Percentual Intervenção implantada,25,0,As ações de revitalização do Centro de Abastecimento Municipal (CAM) ficaram suspensas em 2018 em função do andamento do Procedimento de Manifestação de Interesse (PMI) dos mercados públicos do município.a cargo da PBH Ativos.,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,11 - Monitoramento aos mercados e acompanhamento de preços no varejo,531070,"587358,91",,,,,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,14 - Plataformas digitais de divulgação e articulação de experiências de consumo saudável,5000,  -   ,Percentual de sistema desenvolvido,50,0,"A ação não foi iniciada em 2018, pois ainda está sendo estudada a necessidade de desenvolvimento de uma plataforma ou a adaptação de alguma existente.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,15 - Implantação e Manutenção da Feira de Agricultura Urbana e Pontos Regionais de Comercialização da Agricultura Urbana - ,50000,"5737,5",Equipamento adquirido,3,0,"Aquisições já se iniciaram, não sendo concluídas devido dificuldades na execução dos processos licitatórios, em especial para obtenção de orçamentos nas especificidades exigidas pela PBH. Previsão de conclusão das aquisições no primeiro semestre 2019",,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,17 - Banco de Alimentos: doação de alimentos a instituições socioassistenciais , -, -,Alimento doado (toneladas),-,-,,,S,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,18 - Mercados Municipais Revitalizados , -, -,Mercado Revitalizado,-,-,,,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2305 - Fortalecimento da Comercialização Direta da Agricultura Urbana e Familiar e Apoio ao Abastecimento,19 - Implantação da Central de Abastecimento da Agricultura Familiar e Urbana, -, -,Central implantada,-,-,,,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,1 - Estratégias Educativas para Promoção do Consumo Alimentar Saudável e Sustentável com Ferramentas Lúdicas de Mobilização,69154,"47162,15",Pessoa Participante,9000,14675,A meta foi ultrapassada devido ao público atendido em eventos de mobilização em massa realizados no Restaurante Popular e que não haviam sido planejados antecipadamente.,,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,2 - Formação e Assessoria Tecnica para Multiplicadores em Educação Alimentar e Nutricional,20000,  -   ,Pessoa capacitada,2000,3689,"Ampliação do calendário de cursos de Boas Práticas com participação do grupo de arte mobilização, bem como parceria em todos os eventos de culminância do Projeto Esquadrão da Alimentação geraram um alcance maior do que o público participante previsto","Em 2018 a subação se chamava ""Educação Alimentar e Nutricional com Estratégias de Arte Mobilização""",N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,3 - Circuitos de Segurança Alimentar e Nutricional Sustentável,20000,  -   ,Evento realizado,9,10,"A meta foi ultrapassada devido ao público atendido em eventos de mobilização em massa realizados no Restaurante Popular e que não haviam sido planejados antecipadamente e pela celebração de parcerias em eventos com Órgãos como SMED, SLU, CMBH.",,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2331 - Mobilização e Educação para o consumo Alimentar Saudável e para Segurança Alimentar e Nutricional,4 - Qualificação em Boas Práticas para Manipuladores de Alimentos,82500,"40218,31",Pessoa Participante,400,564,"A meta foi ultrapassada em virtude da assiduidade das cantineiras nos cursos (turmas completas) e a redef. do nº inicialmente prev. de cursos para atender a demanda atual de cantineiras, considerando a rotatividade e a necessidade de cursos de aperf.","Em 2018 a subação se chamava ""Formação de Profissionais da Manipulação de Alimentos da Rede Municipal e conveniada""",N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2334 - Participação Popular,2 - Apoio aos Conselhos Municipais,,,-,,,,,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"1 - Realização de Cursos de Qualificação nas Áreas de Gastronomia, Empreendedorismo Grastronômico e Agroecologia",185269,"117545,8",vaga ofertada,800,1405,"Implantação do Curso de Agroecologia, em modelo teórico, que permitiu com poucos recursos, atender maior demanda de usuários",,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,2 - Adequação da Estrutura do Mercado da Lagoinha,200000,  -   ,Equipamento revitalizado (percentual),25,22,"As reformas foram realizadas pela Secretaria Municipal de Obras e Infraestrutura, portanto, não houve necessidade de dispêndio financeiro.",,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,3 - Realização de Eventos Gastronômico-Culturais, -, -,Evento realizado,10,2,"Não foram realizados mais eventos em 2018, devido à capacidade da equipe.",,N,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,4 - Instalação de Pontos de Comercialização, -, -,Ponto instalado,11,0,A ação não foi realizada por indisponibilidade de equipe. A ação foi retirada do PPAG no âmbito da revisão de 2019.,,,
"308 - BH Cidade Sustentável: Mobilizar, Educar e Cultivar Alimentação Saudável",2923 - Valorização da Gastronomia articulada à Produção Agroecológica e Orgânica,"5 - Realização de Oficinas, Rodas de Negócios e Workshop",10000,  -   ,Evento realizado,50,16,"A meta foi superestimada para o ano de 2018. Para a revisão do ano de 2019, a meta foi alterada para quantidade de pessoas atendidas.",,N,
307 - Sustentabilidade e Educação Ambiental,2912 - Preservação Ambiental e Desenvolvimento Sustentável,5 - Implantação de Agroflorestas Urbanas, -, -,Agrofloresta implantada,-,-,,,,
